column_name,train_n_unique,train_null_percent,train_is_numeric,train_is_object,train_is_mixed_type,train_is_numeric_object,train_is_fully_null,train_is_constant,test_n_unique,test_null_percent,test_is_numeric,test_is_object,test_is_mixed_type,test_is_numeric_object,test_is_fully_null,test_is_constant,max_null_percent,null_gap_test_minus_train,present_in_train,present_in_test,train_dtype,test_dtype,dtype_mismatch
verification_status_joint,1,100.0,True,False,False,False,True,False,4,99.88,False,True,False,False,False,False,100.0,-0.12000000000000455,True,True,float64,str,True
avg_cur_bal,55979,15.07,True,False,False,False,False,False,56003,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
mo_sin_old_rev_tl_op,692,15.07,True,False,False,False,False,False,709,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
mo_sin_rcnt_rev_tl_op,216,15.07,True,False,False,False,False,False,241,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
mo_sin_rcnt_tl,144,15.07,True,False,False,False,False,False,168,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
num_accts_ever_120_pd,31,15.07,True,False,False,False,False,False,35,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
num_actv_bc_tl,29,15.07,True,False,False,False,False,False,31,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
num_actv_rev_tl,38,15.07,True,False,False,False,False,False,46,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
num_bc_tl,57,15.07,True,False,False,False,False,False,61,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
num_il_tl,86,15.07,True,False,False,False,False,False,104,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
num_op_rev_tl,57,15.07,True,False,False,False,False,False,60,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
num_rev_tl_bal_gt_0,37,15.07,True,False,False,False,False,False,43,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
num_tl_30dpd,6,15.07,True,False,False,False,False,False,5,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
num_tl_90g_dpd_24m,23,15.07,True,False,False,False,False,False,25,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
num_tl_op_past_12m,27,15.07,True,False,False,False,False,False,28,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
tot_coll_amt,6322,15.07,True,False,False,False,False,False,8350,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
tot_cur_bal,220691,15.07,True,False,False,False,False,False,230329,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
tot_hi_cred_lim,225942,15.07,True,False,False,False,False,False,237207,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
total_il_high_credit_limit,104845,15.07,True,False,False,False,False,False,115868,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
total_rev_hi_lim,14613,15.07,True,False,False,False,False,False,10694,0.0,True,False,False,False,False,False,15.07,-15.07,True,True,float64,int64,True
num_bc_sats,37,12.57,True,False,False,False,False,False,48,0.0,True,False,False,False,False,False,12.57,-12.57,True,True,float64,int64,True
num_sats,63,12.57,True,False,False,False,False,False,72,0.0,True,False,False,False,False,False,12.57,-12.57,True,True,float64,int64,True
acc_open_past_24mths,40,10.73,True,False,False,False,False,False,47,0.0,True,False,False,False,False,False,10.73,-10.73,True,True,float64,int64,True
mort_acc,37,10.73,True,False,False,False,False,False,36,0.0,True,False,False,False,False,False,10.73,-10.73,True,True,float64,int64,True
total_bal_ex_mort,117515,10.73,True,False,False,False,False,False,128720,0.0,True,False,False,False,False,False,10.73,-10.73,True,True,float64,int64,True
total_bc_limit,12191,10.73,True,False,False,False,False,False,5097,0.0,True,False,False,False,False,False,10.73,-10.73,True,True,float64,int64,True
pub_rec_bankruptcies,11,0.29,True,False,False,False,False,False,11,0.0,True,False,False,False,False,False,0.29,-0.29,True,True,float64,int64,True
chargeoff_within_12_mths,9,0.03,True,False,False,False,False,False,10,0.0,True,False,False,False,False,False,0.03,-0.03,True,True,float64,int64,True
