column_name,dtype_train,unique_including_null_train,unique_non_null_train,null_percent_train,sample_values_train,dtype_test,unique_including_null_test,unique_non_null_test,null_percent_test,sample_values_test,present_in_train,present_in_test,dtype_mismatch,unique_non_null_gap_test_minus_train,null_gap_test_minus_train,max_null_percent,has_difference
verification_status_joint,,,,,,str,4,3,99.88,"[""Not Verified"", ""Verified"", ""Source Verified""]",False,True,False,3.0,,99.88,True
next_pymnt_d,str,101.0,100.0,48.73,"[""Feb-16"", ""Jan-16"", ""Sep-13"", ""Feb-14"", ""May-14"", ""Jun-13"", ""Mar-12"", ""Apr-12"", ""May-13"", ""Aug-12""]",str,4,3,6.12,"[""Jan-16"", ""Feb-16"", ""Mar-16""]",True,True,False,-97.0,-42.61,48.73,True
desc,str,124436.0,124435.0,72.98,"[""Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>"", ""Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>"", ""Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>"", ""Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>"", ""Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>"", ""Borrower added on 12/16/11 > Downpayment for a car.<br>"", ""Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>"", ""Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>"", ""Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>"", ""Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>""]",str,35,34,99.99,"[""We knew that using our credit cards to finance an adoption would squeeze us, but then medical and other unexpected expenses made the situation almost impossible. We are a stable family in a stable community. We just need to break a cycle of debt that is getting worse."", ""I had a bad year two years ago, with some late and missed payments. I'm doing much better now, but I've got fees and some higher interest bits that have added up on top of the other stuff, and it's a little crazy. I'm hoping doing it thru Lending Club will make it easier - and cheaper - to pay off."", ""Lenders,  I have the ability to pay off my current debt but, would like the ability to be able to put some extra money off to the side and build my personal savings account.  The lower interest rate of roughly 7% would enable me to do that.  I'm willing to share my credit report to anyone that is willing to help out. Please consider my application.  Thank you,"", ""I paid off my first Prosper loan, but had an emergency and took out a second Prosper loan, but at a very high interest rate - and I would like the opportunity to get the interest rate lowered.  This loan would be used to pay off the second Prosper Loan."", """", ""I want to cut down on my credit  card debt now (while they are not wildly out of control) by consolidating them all in one so I can make regular payments to one single source rather than keeping on track of several credit cards payment."", ""i recently proposed to my girlfriend of almost 8 yrs now and everything was going well untill our pug (ody) the middle of my three dogs started limping around and stumbling all the time. well come to find out he has a tumor on his spine. not very good news for us as our dogs are pretty much our children. so the reason for my loan request is the money i spent on the engagement ring was most of my savings and then i had to take out paydayloans loans for the mylogram bill, wich is similar to an MRI. $2,700 along with meds, visits etc. well as we all know paydayloans are very high intrest and a pain to try and payback and still stay on top of regular monthly bills. they are taking a toll on me mentally and physically, falling behind on all bills except mortgage. i would use the loan to pay off all payday loans and to catch back up on bills. all was going so well and it now has taken a turn for the worst. if there is any one that can help it would be greatly appreciated, and i would pay the loan back as soon as possible. thank you very much for considering me."", ""I would like to consolidate my loan in one small monthly payment w/a low interest rate. All my credit has a very high interest rate. Please advise and let me know if i will be qualified."", ""I would like to refinance my credit cards at a lower rate.  The high interest is making it difficult to keep to my monthly budget."", ""I have excellent credit and I need to reduce my credit card debt at a lower interest rate.""]",True,True,False,-124401.0,27.00999999999999,99.99,True
last_pymnt_d,str,99.0,98.0,0.08,"[""Jan-15"", ""Apr-13"", ""Jun-14"", ""Jan-16"", ""Apr-12"", ""Nov-12"", ""Jun-13"", ""Sep-13"", ""Jul-12"", ""Oct-13""]",str,14,13,4.1,"[""Jan-16"", ""Dec-15"", ""Nov-15"", ""Oct-15"", ""Sep-15"", ""Aug-15"", ""Jul-15"", ""Jun-15"", ""May-15"", ""Apr-15""]",True,True,False,-85.0,4.02,4.1,True
emp_title,str,205476.0,205475.0,5.92,"[""Ryder"", ""AIR RESOURCES BOARD"", ""University Medical Group"", ""Veolia Transportaton"", ""Southern Star Photography"", ""MKC Accounting"", ""Starbucks"", ""Southwest Rural metro"", ""UCLA"", ""Va. Dept of Conservation/Recreation""]",str,120812,120811,5.67,"[""Foreign Service Officer"", ""Associate Consultant"", ""mechanic"", ""CARDIOVASCULAR TECH"", ""truck driver"", ""Electronic Branch Manager"", ""Sales Manager"", ""leadman"", ""Veterinary Tecnician"", ""Contract Specialist""]",True,True,False,-84664.0,-0.25,5.92,True
title,str,63099.0,63098.0,0.0,"[""Computer"", ""bike"", ""real estate business"", ""personel"", ""Personal"", ""My wedding loan I promise to pay back"", ""Loan"", ""Car Downpayment"", ""Expand Business & Buy Debt Portfolio"", ""Building my credit history.""]",str,28,27,0.03,"[""Home improvement"", ""Credit card refinancing"", ""Debt consolidation"", ""Major purchase"", ""Other"", ""Medical expenses"", ""Business"", ""Home buying"", ""Car financing"", ""Vacation""]",True,True,False,-63071.0,0.03,0.03,True
last_credit_pull_d,str,104.0,103.0,0.01,"[""Jan-16"", ""Sep-13"", ""Jan-15"", ""Sep-15"", ""Dec-14"", ""Aug-12"", ""Mar-13"", ""Dec-15"", ""Aug-13"", ""Nov-12""]",str,15,14,0.0,"[""Jan-16"", ""Dec-15"", ""Nov-15"", ""Sep-15"", ""Oct-15"", ""Aug-15"", ""Jul-15"", ""Jun-15"", ""May-15"", ""Apr-15""]",True,True,False,-89.0,-0.01,0.01,True
url,str,466285.0,466285.0,0.0,"[""https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077501"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077430"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077175"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=1076863"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=1075358"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=1075269"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069639"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=1072053"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=1071795"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=1071570""]",str,421094,421094,0.0,"[""https://www.lendingclub.com/browse/loanDetail.action?loan_id=68444620"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=68547583"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=67849662"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=68506885"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=68341763"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=68416935"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=68466916"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=68407277"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=68426831"", ""https://www.lendingclub.com/browse/loanDetail.action?loan_id=68377020""]",True,True,False,-45191.0,0.0,0.0,True
issue_d,str,91.0,91.0,0.0,"[""Dec-11"", ""Nov-11"", ""Oct-11"", ""Sep-11"", ""Aug-11"", ""Jul-11"", ""Jun-11"", ""May-11"", ""Apr-11"", ""Mar-11""]",str,12,12,0.0,"[""Dec-15"", ""Nov-15"", ""Oct-15"", ""Sep-15"", ""Aug-15"", ""Jul-15"", ""Jun-15"", ""May-15"", ""Apr-15"", ""Mar-15""]",True,True,False,-79.0,0.0,0.0,True
zip_code,str,888.0,888.0,0.0,"[""860xx"", ""309xx"", ""606xx"", ""917xx"", ""972xx"", ""852xx"", ""280xx"", ""900xx"", ""958xx"", ""774xx""]",str,914,914,0.0,"[""200xx"", ""462xx"", ""672xx"", ""460xx"", ""605xx"", ""973xx"", ""226xx"", ""190xx"", ""300xx"", ""236xx""]",True,True,False,26.0,0.0,0.0,True
