column_name,value,present_in
verification_status_joint,Not Verified,test_only
verification_status_joint,Source Verified,test_only
verification_status_joint,Verified,test_only
next_pymnt_d,Apr-08,train_only
next_pymnt_d,Apr-09,train_only
next_pymnt_d,Apr-10,train_only
next_pymnt_d,Apr-11,train_only
next_pymnt_d,Apr-12,train_only
next_pymnt_d,Apr-13,train_only
next_pymnt_d,Apr-14,train_only
next_pymnt_d,Apr-15,train_only
next_pymnt_d,Aug-08,train_only
next_pymnt_d,Aug-09,train_only
desc,"""Hello,      After graduating from college, I took an opportunity to start my own business operating a self-funded music publishing and recording company. And during the 5 years of my success in the public eye, most likely due to my lack of experience and preparedness, financially I made a few errors in judgment.      Since then I have been doing everything I can to improve my financial situation: I got a very good job at the University of California, San Diego managing several projects in Medical Education (4 years currently); I???ve been pushing aggressively for promotions at work (about 1 month away from the latest approval); I am currently in the pursuit of a second job;  I have been and continue to sell items of value in order to supplement any income; To save money on gas, I bike to work on average 1-2 times per week (approximately 50 miles round trip); and most importantly, I have turned music into a more realistic and financially stable hobby.      Below is the detail of the debt that I am hoping to consolidate.   I plan on eliminating 3 of the 4 cards.   In the years that I have had this debt, I have been late on payments maybe once or twice (occasions where I overlooked the date).  Also, a little less than one-third of this debt was built from the assistance of pursuing my bachelor???s degree.        * indicates the credit I intend on eliminating with this assistance      Card 1  $3902.38 (%15.24)      * Card 2  $3955.99 (%17.90)      *Card 3  $13,475.70 (%24.50)      *Card 4  $4777.13   (%27.74)      I appreciate any help that is out there and look forward to getting out of this hole so I can finally be able to focus on moving forward with building a family and career.  "" Borrower added on 07/03/10 > With the approved loan amount updated to $15,000, I plan on eliminating and decreasing the debt on cards #3 and 4<br/>",train_only
desc,"""I bought a duplex in june. The only thing left to renovate is the roof and redo the sidewalk and drive way. I am secure in my job, never had any trouble with debts.""""I bought a duplex in june. The only thing left to renovate is the roof and redo the sidewalk and drive way. I am secure in my job, never had any trouble with debts."" Borrower added on 12/10/11 > Loan was relisted because my employer held verification of employment for me to sign but didnt contact me.<br>",train_only
desc,"""My intentions are to purchase a engagement ring, hopefully in time for the holidays. I want to thank, in advance any and all who consider funding. My job is extremely stable, and I have a steady contractually binding income. My risk of layoff and or termination is extremely minuscule. I am also due for a substantial contractually guaranteed pay increase.  I also have a second job with the luxury of being able to do as much or as little as I want, this does not interfere with my primary source of income due to the second job only allowing me to schedule on days that I have off. My monthly expenses will be substantially lower due to my increase in pay. My monthly rent is extremely low.""",train_only
desc,"""This loan is to finance a brilliant, progressive multi-media company start-up. The initial project of this single-member LLC is an entrepreneurial opportunity that must be taken advantage of immediately, thus the loan. I am very confident in the plans for this start-up. I project a strong profit within 18 months. I have a secure, full-time salaried position as a Receiving Manager for a very successful online retailer - and have been with them for 7 years. I receive full benefits, profit sharing & a generous annual holiday bonus. I bring home $2,460/mo, my current living expenses are about $1300/mo, I have a good, clean credit history and my score is currently 700+. Any questions, please ask. Kind thanks.""",train_only
desc,"$ credits cards totaling $16,000 and a car loan of $4,000.",train_only
desc,"$1,888.49 Effective Annual Percentage Rate (APR): 19.11% on Capital One. $2,549.09 ANNUAL PERCENTAGE RATE applied this period: 19.80% on Chase. Looking to refinance at a better rate. Just paid $500 toward each but rates keep going up.",train_only
desc,$10K for additional home purchases' down payment.,train_only
desc,"$3,900 of this loan is to pay for my daughters eye surgery. Insurance will not cover it and she is ready to have the procedure done. The balance is to pay for dental bills. I would love to say its for vacation and having a great time but, i can only wish that for now!! I sincerely appreciate everyones help ! Thank you.",train_only
desc,"$32k outstanding credit card balance with American Express. Help me in my journey to be credit card debt free over the next 3 years, and at the same time, help me send a personal message to AmEx, which has been abusing customers over the last 18 months. I have been an Amex customer for several years, had low 9.99% fixed interest rate. Rate increased 4% in Nov 2008. Rate is now scheduled to convert to variable, adding another 2%, effective 10/1/09. AmEx does not deserve my business anymore. Help me pay off this balance as soon as possible.",train_only
desc,$3500.00 personal loan,train_only
desc,"Already put 19500 into my home addition. The frame and everythingis paid for cash. Want to finish the electrical, plumbing, sheetrock. Have equity in my house but I was always taught never to take an additional mortgage out.  Looking for a good rate and good terms.",test_only
desc,I am a great candidate for this loan because I have not missed a beat on any thing in five years. Thanks,test_only
desc,I am building a new garage on a property that i ocupy as my primary residence.  I just purchased the propery in June 2007 and my bank will only offer a peronnal loan a a ridculus high interst rate that would not be cost effective for me.  I have exceptional credit.,test_only
desc,"I am in my senior year of college in obtaining a bachelors degree in criminal justice.  I do not qualify for financial aid and have used all stafford loans available.  My tuition is approx. $1200 a month and I have 10 courses left which adds up to over $10,000.  I need some assistance to cover my tuition until my graduation date which is August of 2009.",test_only
desc,I am looking for a loan to pay my credit cards off as well as making some very much needed auto repairs,test_only
desc,"I had a bad year two years ago, with some late and missed payments. I'm doing much better now, but I've got fees and some higher interest bits that have added up on top of the other stuff, and it's a little crazy. I'm hoping doing it thru Lending Club will make it easier - and cheaper - to pay off.",test_only
desc,I have been in business for a year and want to eliminate some personal debt and use the remainder of the loan to take care of business expenses. Also lessening the number of trade lines I have open puts me in a better position to pursue business loans since it will  be based on my personal credit. A detailed report can be created to show where exactly the funds will go and this can be provided at any time during the course of the loan.,test_only
desc,I have excellent credit and I need to reduce my credit card debt at a lower interest rate.,test_only
