column_name,value,present_in
revol_util,0.01%,train_only
revol_util,0.03%,train_only
revol_util,0.04%,train_only
revol_util,0.05%,train_only
revol_util,0.12%,train_only
revol_util,0.16%,train_only
revol_util,0.46%,train_only
revol_util,0.49%,train_only
revol_util,0.54%,train_only
revol_util,0.75%,train_only
revol_util,0.83%,train_only
revol_util,0.86%,train_only
revol_util,1.88%,train_only
revol_util,10.08%,train_only
revol_util,10.17%,train_only
revol_util,10.61%,train_only
revol_util,108.9%,train_only
revol_util,109.6%,train_only
revol_util,11.62%,train_only
revol_util,11.63%,train_only
revol_util,105.6%,test_only
revol_util,107.1%,test_only
revol_util,107.9%,test_only
revol_util,108.5%,test_only
revol_util,108.6%,test_only
revol_util,108.7%,test_only
revol_util,109%,test_only
revol_util,110%,test_only
revol_util,110.2%,test_only
revol_util,110.4%,test_only
revol_util,110.9%,test_only
revol_util,111.1%,test_only
revol_util,111.6%,test_only
revol_util,111.7%,test_only
revol_util,111.8%,test_only
revol_util,112.3%,test_only
revol_util,112.8%,test_only
revol_util,113.2%,test_only
revol_util,113.5%,test_only
revol_util,114.2%,test_only
int_rate,10.00%,train_only
int_rate,10.01%,train_only
int_rate,10.08%,train_only
int_rate,10.14%,train_only
int_rate,10.15%,train_only
int_rate,10.16%,train_only
int_rate,10.20%,train_only
int_rate,10.25%,train_only
int_rate,10.28%,train_only
int_rate,10.33%,train_only
int_rate,10.36%,train_only
int_rate,10.37%,train_only
int_rate,10.38%,train_only
int_rate,10.39%,train_only
int_rate,10.46%,train_only
int_rate,10.51%,train_only
int_rate,10.59%,train_only
int_rate,10.62%,train_only
int_rate,10.65%,train_only
int_rate,10.71%,train_only
int_rate,11.53%,test_only
int_rate,12.05%,test_only
int_rate,12.59%,test_only
int_rate,12.88%,test_only
int_rate,13.18%,test_only
int_rate,13.33%,test_only
int_rate,13.44%,test_only
int_rate,14.48%,test_only
int_rate,14.85%,test_only
int_rate,15.41%,test_only
int_rate,15.77%,test_only
int_rate,16.55%,test_only
int_rate,18.20%,test_only
int_rate,19.19%,test_only
int_rate,19.48%,test_only
int_rate,19.89%,test_only
int_rate,24.24%,test_only
int_rate,25.09%,test_only
int_rate,25.78%,test_only
int_rate,26.77%,test_only
loan_status,does_not_meet_the_credit_policy._status:charged_off,train_only
loan_status,does_not_meet_the_credit_policy._status:fully_paid,train_only
