column_name,value,present_in
revol_util,0.01%,train_only
revol_util,0.03%,train_only
revol_util,0.04%,train_only
revol_util,0.05%,train_only
revol_util,0.12%,train_only
revol_util,0.16%,train_only
revol_util,0.46%,train_only
revol_util,0.49%,train_only
revol_util,0.54%,train_only
revol_util,0.75%,train_only
revol_util,0.83%,train_only
revol_util,0.86%,train_only
revol_util,1.88%,train_only
revol_util,10.08%,train_only
revol_util,10.17%,train_only
revol_util,10.61%,train_only
revol_util,108.9%,train_only
revol_util,109.6%,train_only
revol_util,11.62%,train_only
revol_util,11.63%,train_only
revol_util,105.6%,test_only
revol_util,107.1%,test_only
revol_util,107.9%,test_only
revol_util,108.5%,test_only
revol_util,108.6%,test_only
revol_util,108.7%,test_only
revol_util,109%,test_only
revol_util,110%,test_only
revol_util,110.2%,test_only
revol_util,110.4%,test_only
revol_util,110.9%,test_only
revol_util,111.1%,test_only
revol_util,111.6%,test_only
revol_util,111.7%,test_only
revol_util,111.8%,test_only
revol_util,112.3%,test_only
revol_util,112.8%,test_only
revol_util,113.2%,test_only
revol_util,113.5%,test_only
revol_util,114.2%,test_only
loan_status,does_not_meet_the_credit_policy._status:charged_off,train_only
loan_status,does_not_meet_the_credit_policy._status:fully_paid,train_only
