column_name,dtype_train,unique_including_null_train,unique_non_null_train,null_percent_train,sample_values_train,dtype_test,unique_including_null_test,unique_non_null_test,null_percent_test,sample_values_test,present_in_train,present_in_test,dtype_mismatch,unique_non_null_gap_test_minus_train,null_gap_test_minus_train,max_null_percent,has_difference
addr_state,str,50.0,50.0,0.0,"[""AZ"", ""GA"", ""IL"", ""CA"", ""OR""]",str,49,49,0.0,"[""DC"", ""IN"", ""KS"", ""IL"", ""OR""]",True,True,False,-1.0,0.0,0.0,True
application_type,str,1.0,1.0,0.0,"[""INDIVIDUAL""]",str,2,2,0.0,"[""INDIVIDUAL"", ""JOINT""]",True,True,False,1.0,0.0,0.0,True
desc,str,124436.0,124435.0,72.98,"[""Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>"", ""Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>"", ""Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>"", ""Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>"", ""Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>""]",str,35,34,99.99,"[""We knew that using our credit cards to finance an adoption would squeeze us, but then medical and other unexpected expenses made the situation almost impossible. We are a stable family in a stable community. We just need to break a cycle of debt that is getting worse."", ""I had a bad year two years ago, with some late and missed payments. I'm doing much better now, but I've got fees and some higher interest bits that have added up on top of the other stuff, and it's a little crazy. I'm hoping doing it thru Lending Club will make it easier - and cheaper - to pay off."", ""Lenders,  I have the ability to pay off my current debt but, would like the ability to be able to put some extra money off to the side and build my personal savings account.  The lower interest rate of roughly 7% would enable me to do that.  I'm willing to share my credit report to anyone that is willing to help out. Please consider my application.  Thank you,"", ""I paid off my first Prosper loan, but had an emergency and took out a second Prosper loan, but at a very high interest rate - and I would like the opportunity to get the interest rate lowered.  This loan would be used to pay off the second Prosper Loan."", """"]",True,True,False,-124401.0,27.00999999999999,99.99,True
earliest_cr_line,str,665.0,664.0,0.01,"[""Jan-85"", ""Apr-99"", ""Nov-01"", ""Feb-96"", ""Jan-96""]",str,668,668,0.0,"[""Feb-90"", ""Jul-01"", ""Jul-11"", ""Dec-98"", ""Aug-00""]",True,True,False,4.0,-0.01,0.01,True
emp_length,str,12.0,11.0,4.51,"[""10+ years"", ""< 1 year"", ""1 year"", ""3 years"", ""8 years""]",str,12,11,5.66,"[""10+ years"", ""< 1 year"", ""5 years"", ""3 years"", ""4 years""]",True,True,False,0.0,1.1500000000000004,5.66,True
emp_title,str,205476.0,205475.0,5.92,"[""Ryder"", ""AIR RESOURCES BOARD"", ""University Medical Group"", ""Veolia Transportaton"", ""Southern Star Photography""]",str,120812,120811,5.67,"[""Foreign Service Officer"", ""Associate Consultant"", ""mechanic"", ""CARDIOVASCULAR TECH"", ""truck driver""]",True,True,False,-84664.0,-0.25,5.92,True
home_ownership,str,6.0,6.0,0.0,"[""RENT"", ""OWN"", ""MORTGAGE"", ""OTHER"", ""NONE""]",str,4,4,0.0,"[""MORTGAGE"", ""RENT"", ""OWN"", ""ANY""]",True,True,False,-2.0,0.0,0.0,True
issue_d,str,91.0,91.0,0.0,"[""Dec-11"", ""Nov-11"", ""Oct-11"", ""Sep-11"", ""Aug-11""]",str,12,12,0.0,"[""Dec-15"", ""Nov-15"", ""Oct-15"", ""Sep-15"", ""Aug-15""]",True,True,False,-79.0,0.0,0.0,True
last_credit_pull_d,str,104.0,103.0,0.01,"[""Jan-16"", ""Sep-13"", ""Jan-15"", ""Sep-15"", ""Dec-14""]",str,15,14,0.0,"[""Jan-16"", ""Dec-15"", ""Nov-15"", ""Sep-15"", ""Oct-15""]",True,True,False,-89.0,-0.01,0.01,True
last_pymnt_d,str,99.0,98.0,0.08,"[""Jan-15"", ""Apr-13"", ""Jun-14"", ""Jan-16"", ""Apr-12""]",str,14,13,4.1,"[""Jan-16"", ""Dec-15"", ""Nov-15"", ""Oct-15"", ""Sep-15""]",True,True,False,-85.0,4.02,4.1,True
