column_name,dtype_train,unique_including_null_train,unique_non_null_train,null_percent_train,sample_values_train,dtype_test,unique_including_null_test,unique_non_null_test,null_percent_test,sample_values_test,present_in_train,present_in_test,dtype_mismatch,unique_non_null_gap_test_minus_train,null_gap_test_minus_train,max_null_percent,has_difference
verification_status_joint,,,,,,str,4,3,99.88,"[""Not Verified"", ""Verified"", ""Source Verified""]",False,True,False,3.0,,99.88,True
next_pymnt_d,str,106.0,105.0,60.07,"[""Oct-2016"", ""Sep-2016"", ""Jan-2016"", ""Sep-2013"", ""Feb-2016""]",str,5,4,14.23,"[""Jul-2016"", ""Aug-2016"", ""Jun-2016"", ""May-2016""]",True,True,False,-101.0,-45.84,60.07,True
desc,str,124436.0,124435.0,72.98,"[""Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>"", ""Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>"", ""Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>"", ""Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>"", ""Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>""]",str,35,34,99.99,"[""We knew that using our credit cards to finance an adoption would squeeze us, but then medical and other unexpected expenses made the situation almost impossible. We are a stable family in a stable community. We just need to break a cycle of debt that is getting worse."", ""I had a bad year two years ago, with some late and missed payments. I'm doing much better now, but I've got fees and some higher interest bits that have added up on top of the other stuff, and it's a little crazy. I'm hoping doing it thru Lending Club will make it easier - and cheaper - to pay off."", ""Lenders,  I have the ability to pay off my current debt but, would like the ability to be able to put some extra money off to the side and build my personal savings account.  The lower interest rate of roughly 7% would enable me to do that.  I'm willing to share my credit report to anyone that is willing to help out. Please consider my application.  Thank you,"", ""I paid off my first Prosper loan, but had an emergency and took out a second Prosper loan, but at a very high interest rate - and I would like the opportunity to get the interest rate lowered.  This loan would be used to pay off the second Prosper Loan."", """"]",True,True,False,-124401.0,27.00999999999999,99.99,True
emp_title,str,205477.0,205476.0,5.92,"[""Ryder"", ""AIR RESOURCES BOARD"", ""University Medical Group"", ""Veolia Transportaton"", ""Southern Star Photography""]",str,120813,120812,5.67,"[""Road driver"", ""Manager"", ""Director"", ""Paralegal"", ""driver""]",True,True,False,-84664.0,-0.25,5.92,True
revol_util,str,1270.0,1269.0,0.07,"[""83.7%"", ""9.4%"", ""98.5%"", ""21%"", ""53.9%""]",str,1212,1211,0.04,"[""65.3%"", ""50.9%"", ""9.6%"", ""42.5%"", ""35.6%""]",True,True,False,-58.0,-0.030000000000000006,0.07,True
title,str,63133.0,63132.0,0.0,"[""Computer"", ""bike"", ""real estate business"", ""personel"", ""Personal""]",str,28,27,0.03,"[""Car financing"", ""Other"", ""Debt consolidation"", ""Credit card refinancing"", ""Home improvement""]",True,True,False,-63105.0,0.03,0.03,True
last_credit_pull_d,str,112.0,111.0,0.01,"[""Sep-2016"", ""Apr-2016"", ""Jan-2016"", ""Dec-2014"", ""Dec-2015""]",str,20,19,0.0,"[""Jun-2016"", ""Apr-2016"", ""May-2016"", ""Mar-2016"", ""Dec-2015""]",True,True,False,-92.0,-0.01,0.01,True
last_pymnt_d,str,107.0,106.0,0.08,"[""Jan-2015"", ""Apr-2013"", ""Jun-2014"", ""Sep-2016"", ""May-2016""]",str,19,18,0.07,"[""Jun-2016"", ""Mar-2016"", ""Apr-2016"", ""May-2016"", ""Feb-2016""]",True,True,False,-88.0,-0.009999999999999995,0.08,True
url,str,466287.0,466287.0,0.0,"[""https://lendingclub.com/browse/loanDetail.action?loan_id=1077501"", ""https://lendingclub.com/browse/loanDetail.action?loan_id=1077430"", ""https://lendingclub.com/browse/loanDetail.action?loan_id=1077175"", ""https://lendingclub.com/browse/loanDetail.action?loan_id=1076863"", ""https://lendingclub.com/browse/loanDetail.action?loan_id=1075358""]",str,421095,421095,0.0,"[""https://lendingclub.com/browse/loanDetail.action?loan_id=68377006"", ""https://lendingclub.com/browse/loanDetail.action?loan_id=68407301"", ""https://lendingclub.com/browse/loanDetail.action?loan_id=68527009"", ""https://lendingclub.com/browse/loanDetail.action?loan_id=68587652"", ""https://lendingclub.com/browse/loanDetail.action?loan_id=68446820""]",True,True,False,-45192.0,0.0,0.0,True
int_rate,str,506.0,506.0,0.0,"[""10.65%"", ""15.27%"", ""15.96%"", ""13.49%"", ""12.69%""]",str,110,110,0.0,"[""7.91%"", ""14.85%"", ""9.80%"", ""5.32%"", ""11.48%""]",True,True,False,-396.0,0.0,0.0,True
issue_d,str,91.0,91.0,0.0,"[""Dec-2011"", ""Nov-2011"", ""Oct-2011"", ""Sep-2011"", ""Aug-2011""]",str,12,12,0.0,"[""Dec-2015"", ""Nov-2015"", ""Oct-2015"", ""Sep-2015"", ""Aug-2015""]",True,True,False,-79.0,0.0,0.0,True
zip_code,str,888.0,888.0,0.0,"[""860xx"", ""309xx"", ""606xx"", ""917xx"", ""972xx""]",str,914,914,0.0,"[""431xx"", ""710xx"", ""984xx"", ""054xx"", ""477xx""]",True,True,False,26.0,0.0,0.0,True
emp_length,str,12.0,11.0,4.51,"[""10+ years"", ""< 1 year"", ""1 year"", ""3 years"", ""8 years""]",str,12,11,5.66,"[""10+ years"", ""5 years"", ""1 year"", ""2 years"", ""9 years""]",True,True,False,0.0,1.1500000000000004,5.66,True
earliest_cr_line,str,665.0,664.0,0.01,"[""Jan-1985"", ""Apr-1999"", ""Nov-2001"", ""Feb-1996"", ""Jan-1996""]",str,668,668,0.0,"[""May-2006"", ""Jul-2001"", ""May-1992"", ""Feb-1996"", ""Aug-2009""]",True,True,False,4.0,-0.01,0.01,True
home_ownership,str,6.0,6.0,0.0,"[""RENT"", ""OWN"", ""MORTGAGE"", ""OTHER"", ""NONE""]",str,4,4,0.0,"[""MORTGAGE"", ""RENT"", ""OWN"", ""ANY""]",True,True,False,-2.0,0.0,0.0,True
loan_status,str,9.0,9.0,0.0,"[""Fully Paid"", ""Charged Off"", ""Current"", ""In Grace Period"", ""Late (31-120 days)""]",str,7,7,0.0,"[""Current"", ""Fully Paid"", ""Late (31-120 days)"", ""In Grace Period"", ""Charged Off""]",True,True,False,-2.0,0.0,0.0,True
addr_state,str,50.0,50.0,0.0,"[""AZ"", ""GA"", ""IL"", ""CA"", ""OR""]",str,49,49,0.0,"[""OH"", ""LA"", ""WA"", ""VT"", ""IN""]",True,True,False,-1.0,0.0,0.0,True
application_type,str,1.0,1.0,0.0,"[""INDIVIDUAL""]",str,2,2,0.0,"[""INDIVIDUAL"", ""JOINT""]",True,True,False,1.0,0.0,0.0,True
