feature_bin,default_rate_percent,loan_count,feature_name,dataset_split
"(-0.001, 6.54]",12.99,28079,dti,train
"(6.54, 9.57]",13.9,28021,dti,train
"(9.57, 11.99]",15.18,28000,dti,train
"(11.99, 14.13]",16.19,28033,dti,train
"(14.13, 16.25]",17.08,27992,dti,train
"(16.25, 18.43]",18.78,28096,dti,train
"(18.43, 20.75]",19.97,28014,dti,train
"(20.75, 23.43]",21.78,27969,dti,train
"(23.43, 27.13]",23.77,27979,dti,train
"(27.13, 39.99]",28.04,28013,dti,train
"(-0.001, 6.54]",11.8,4900,dti,test
"(6.54, 9.57]",12.61,5029,dti,test
"(9.57, 11.99]",12.73,5255,dti,test
"(11.99, 14.13]",14.71,5146,dti,test
"(14.13, 16.25]",15.53,5388,dti,test
"(16.25, 18.43]",16.82,5605,dti,test
"(18.43, 20.75]",17.11,5733,dti,test
"(20.75, 23.43]",19.88,5830,dti,test
"(23.43, 27.13]",22.79,6542,dti,test
"(27.13, 39.99]",29.47,10579,dti,test
"(-0.001, 20.9]",11.89,28130,revol_util,train
"(20.9, 33.0]",14.99,27900,revol_util,train
"(33.0, 42.0]",16.69,28201,revol_util,train
"(42.0, 49.7]",18.18,28069,revol_util,train
"(49.7, 56.8]",18.96,27941,revol_util,train
"(56.8, 63.7]",19.71,28029,revol_util,train
"(63.7, 70.7]",20.57,27952,revol_util,train
"(70.7, 78.2]",21.25,27796,revol_util,train
"(78.2, 86.9]",21.77,27972,revol_util,train
"(86.9, 892.3]",23.68,27996,revol_util,train
"(-0.001, 20.9]",12.09,8290,revol_util,test
"(20.9, 33.0]",14.74,8033,revol_util,test
"(33.0, 42.0]",16.33,7109,revol_util,test
"(42.0, 49.7]",17.59,6196,revol_util,test
"(49.7, 56.8]",19.02,5837,revol_util,test
"(56.8, 63.7]",20.55,5324,revol_util,test
"(63.7, 70.7]",21.4,5038,revol_util,test
"(70.7, 78.2]",22.22,4748,revol_util,test
"(78.2, 86.9]",24.12,4391,revol_util,test
"(86.9, 892.3]",26.51,5014,revol_util,test
