feature_name,dataset_split,feature_bin,loan_count,default_rate_percent
inq_last_6mths,train,0.0,137824,16.79
inq_last_6mths,train,1.0,80293,19.48
inq_last_6mths,train,2.0,38241,21.36
inq_last_6mths,train,3.0,17520,23.4
inq_last_6mths,train,4.0,4129,23.98
inq_last_6mths,train,5.0,1492,23.93
inq_last_6mths,train,6.0,630,26.67
inq_last_6mths,train,7.0,47,25.53
inq_last_6mths,train,8.0,20,20.0
inq_last_6mths,test,0.0,32958,16.7
inq_last_6mths,test,1.0,17098,19.7
inq_last_6mths,test,2.0,6398,22.13
inq_last_6mths,test,3.0,2464,25.49
inq_last_6mths,test,4.0,778,23.14
inq_last_6mths,test,5.0,302,23.18
inq_last_6mths,test,6.0,14,21.43
has_mths_since_last_delinq,train,0,156440,18.3
has_mths_since_last_delinq,train,1,123756,19.35
has_mths_since_last_delinq,test,0,29408,18.71
has_mths_since_last_delinq,test,1,30604,18.51
has_mths_since_last_major_derog,train,0,227851,18.36
has_mths_since_last_major_derog,train,1,52345,20.52
has_mths_since_last_major_derog,test,0,42228,18.71
has_mths_since_last_major_derog,test,1,17784,18.37
has_mths_since_last_record,train,0,246119,18.58
has_mths_since_last_record,train,1,34077,20.09
has_mths_since_last_record,test,0,48535,18.67
has_mths_since_last_record,test,1,11477,18.35
