feature_name,train_dtype,test_dtype,feature_group,is_binary,train_non_null_unique_values,test_non_null_unique_values,requires_manual_review
home_ownership,category,category,categorical,False,4,3,False
loan_status,category,category,categorical,False,5,3,False
purpose,category,category,categorical,False,14,14,False
acc_now_delinq,float64,float64,numeric,False,6,6,False
acc_open_past_24mths,float64,float64,numeric,False,34,38,False
annual_inc,float64,float64,numeric,False,21434,5699,False
avg_cur_bal,float64,float64,numeric,False,46736,27391,False
bc_open_to_buy,float64,float64,numeric,False,37969,22824,False
bc_util,float64,float64,numeric,False,1239,1155,False
chargeoff_within_12_mths,float64,float64,numeric,False,7,7,False
collections_12_mths_ex_med,float64,float64,numeric,False,7,5,False
delinq_2yrs,float64,float64,numeric,False,23,20,False
delinq_amnt,float64,float64,numeric,False,415,205,False
dti,float64,float64,numeric,False,3932,3982,False
emp_length_years,Float32,Float32,numeric,False,11,11,False
has_mths_since_last_delinq,int8,int8,numeric,True,2,2,False
has_mths_since_last_major_derog,int8,int8,numeric,True,2,2,False
has_mths_since_last_record,int8,int8,numeric,True,2,2,False
has_mths_since_recent_bc_dlq,int8,int8,numeric,True,2,2,False
has_mths_since_recent_revol_delinq,int8,int8,numeric,True,2,2,False
inq_last_6mths,float64,float64,numeric,False,28,7,False
loan_amnt,int64,int64,numeric,False,1322,1302,False
mo_sin_old_il_acct,float64,float64,numeric,False,436,392,False
mo_sin_old_rev_tl_op,float64,float64,numeric,False,656,629,False
mo_sin_rcnt_rev_tl_op,float64,float64,numeric,False,181,166,False
mo_sin_rcnt_tl,float64,float64,numeric,False,126,120,False
mort_acc,float64,float64,numeric,False,32,29,False
mths_since_last_delinq,float64,float64,numeric,False,132,104,False
mths_since_last_major_derog,float64,float64,numeric,False,152,150,False
mths_since_last_record,float64,float64,numeric,False,124,122,False
mths_since_recent_bc,float64,float64,numeric,False,354,299,False
mths_since_recent_bc_dlq,float64,float64,numeric,False,124,111,False
mths_since_recent_inq,float64,float64,numeric,False,26,25,False
mths_since_recent_revol_delinq,float64,float64,numeric,False,128,111,False
num_accts_ever_120_pd,float64,float64,numeric,False,27,25,False
num_actv_bc_tl,float64,float64,numeric,False,27,25,False
num_actv_rev_tl,float64,float64,numeric,False,35,40,False
num_bc_sats,float64,float64,numeric,False,35,38,False
num_bc_tl,float64,float64,numeric,False,53,49,False
num_il_tl,float64,float64,numeric,False,77,80,False
num_op_rev_tl,float64,float64,numeric,False,53,47,False
num_rev_accts,float64,float64,numeric,False,81,75,False
num_rev_tl_bal_gt_0,float64,float64,numeric,False,34,37,False
num_sats,float64,float64,numeric,False,58,55,False
num_tl_120dpd_2m,float64,float64,numeric,False,3,4,False
num_tl_30dpd,float64,float64,numeric,False,5,4,False
num_tl_90g_dpd_24m,float64,float64,numeric,False,21,18,False
num_tl_op_past_12m,float64,float64,numeric,False,25,25,False
open_acc,float64,float64,numeric,False,57,55,False
pct_tl_nvr_dlq,float64,float64,numeric,False,426,394,False
percent_bc_gt_75,float64,float64,numeric,False,153,123,False
pub_rec,float64,float64,numeric,False,14,12,False
pub_rec_bankruptcies,float64,float64,numeric,False,9,6,False
revol_bal,int64,int64,numeric,False,49190,28944,False
revol_util,float64,float64,numeric,False,1216,1089,False
row_id,int64,int64,numeric,False,282945,60012,False
tax_liens,float64,float64,numeric,False,14,12,False
term_months,Int16,Int16,numeric,True,2,2,False
tot_coll_amt,float64,float64,numeric,False,4192,2917,False
tot_cur_bal,float64,float64,numeric,False,146721,53370,False
tot_hi_cred_lim,float64,float64,numeric,False,145399,50352,False
total_acc,float64,float64,numeric,False,105,104,False
total_bal_ex_mort,float64,float64,numeric,False,93163,45555,False
total_bc_limit,float64,float64,numeric,False,9871,2017,False
total_il_high_credit_limit,float64,float64,numeric,False,80051,38074,False
total_rev_hi_lim,float64,float64,numeric,False,10903,3267,False
