iter	Passed	Remaining
0	31	10668
1	48	8250
2	64	7251
3	81	6824
4	97	6546
5	115	6423
6	131	6219
7	145	6038
8	162	5941
9	178	5882
10	193	5777
11	208	5694
12	224	5638
13	240	5573
14	255	5517
15	271	5471
16	286	5426
17	302	5395
18	317	5350
19	332	5299
20	347	5257
21	361	5214
22	377	5184
23	393	5164
24	409	5138
25	424	5115
26	439	5074
27	454	5051
28	469	5019
29	486	5007
30	500	4976
31	515	4947
32	530	4916
33	545	4893
34	561	4873
35	576	4854
36	592	4837
37	607	4812
38	622	4791
39	638	4771
40	652	4743
41	667	4720
42	683	4703
43	698	4684
44	712	4656
45	728	4642
46	743	4621
47	760	4608
48	774	4584
49	790	4567
50	806	4554
51	822	4540
52	838	4525
53	853	4503
54	869	4491
55	887	4484
56	902	4467
57	918	4450
58	934	4436
59	950	4420
60	966	4405
61	981	4386
62	995	4362
63	1009	4339
64	1024	4319
65	1040	4302
66	1055	4283
67	1072	4273
68	1087	4255
69	1103	4241
70	1118	4220
71	1133	4202
72	1147	4181
73	1163	4165
74	1182	4161
75	1200	4153
76	1219	4149
77	1237	4139
78	1256	4133
79	1273	4122
80	1289	4107
81	1308	4101
82	1324	4085
83	1342	4076
84	1359	4061
85	1374	4043
86	1390	4028
87	1405	4009
88	1421	3991
89	1435	3972
90	1450	3954
91	1466	3936
92	1482	3922
93	1501	3912
94	1515	3891
95	1530	3873
96	1545	3855
97	1558	3832
98	1573	3813
99	1587	3794
100	1604	3780
101	1620	3765
102	1635	3747
103	1651	3732
104	1666	3714
105	1681	3696
106	1696	3677
107	1710	3659
108	1725	3641
109	1740	3624
110	1756	3607
111	1770	3589
112	1786	3572
113	1802	3557
114	1817	3539
115	1832	3521
116	1846	3503
117	1862	3488
118	1876	3469
119	1891	3452
120	1906	3434
121	1922	3419
122	1937	3402
123	1951	3384
124	1966	3367
125	1982	3350
126	1997	3334
127	2013	3318
128	2028	3302
129	2043	3285
130	2061	3272
131	2075	3254
132	2090	3237
133	2104	3220
134	2121	3206
135	2136	3188
136	2152	3174
137	2168	3158
138	2183	3142
139	2198	3125
140	2213	3108
141	2230	3093
142	2244	3076
143	2261	3062
144	2276	3045
145	2291	3028
146	2305	3011
147	2321	2995
148	2336	2979
149	2350	2962
150	2366	2946
151	2380	2928
152	2396	2913
153	2411	2896
154	2426	2880
155	2442	2865
156	2457	2849
157	2470	2830
158	2486	2814
159	2501	2798
160	2516	2782
161	2532	2766
162	2548	2751
163	2564	2736
164	2579	2720
165	2595	2705
166	2611	2689
167	2625	2672
168	2643	2658
169	2659	2643
170	2675	2628
171	2691	2612
172	2706	2597
173	2722	2581
174	2737	2565
175	2755	2551
176	2769	2535
177	2784	2518
178	2801	2504
179	2818	2489
180	2833	2473
181	2849	2458
182	2864	2442
183	2881	2427
184	2897	2411
185	2914	2397
186	2930	2381
187	2944	2365
188	2960	2349
189	2975	2333
190	2992	2318
191	3008	2303
192	3023	2287
193	3038	2271
194	3052	2254
195	3068	2238
196	3083	2222
197	3098	2206
198	3115	2191
199	3130	2175
200	3145	2159
201	3163	2145
202	3180	2130
203	3196	2115
204	3211	2099
205	3228	2084
206	3244	2069
207	3259	2052
208	3274	2036
209	3291	2021
210	3307	2006
211	3323	1991
212	3340	1976
213	3355	1959
214	3371	1944
215	3388	1929
216	3404	1914
217	3420	1898
218	3435	1882
219	3450	1866
220	3466	1851
221	3482	1835
222	3498	1819
223	3514	1804
224	3530	1788
225	3545	1772
226	3562	1757
227	3577	1741
228	3592	1725
229	3608	1710
230	3625	1694
231	3639	1678
232	3656	1663
233	3671	1647
234	3687	1631
235	3704	1616
236	3719	1600
237	3734	1584
238	3751	1569
239	3767	1553
240	3783	1538
241	3800	1523
242	3816	1507
243	3833	1492
244	3847	1476
245	3863	1460
246	3878	1444
247	3894	1429
248	3910	1413
249	3925	1397
250	3939	1381
251	3955	1365
252	3970	1349
253	3987	1334
254	4003	1318
255	4020	1303
256	4036	1287
257	4052	1272
258	4069	1256
259	4085	1241
260	4101	1225
261	4117	1210
262	4132	1194
263	4150	1179
264	4165	1163
265	4181	1147
266	4198	1132
267	4212	1115
268	4230	1100
269	4247	1085
270	4262	1069
271	4277	1053
272	4291	1037
273	4308	1022
274	4324	1006
275	4340	990
276	4354	974
277	4370	958
278	4385	943
279	4401	927
280	4417	911
281	4432	896
282	4448	880
283	4462	864
284	4477	848
285	4493	832
286	4508	816
287	4525	801
288	4542	785
289	4559	770
290	4574	754
291	4589	738
292	4604	722
293	4620	707
294	4636	691
295	4652	675
296	4667	660
297	4683	644
298	4699	628
299	4718	613
300	4733	597
301	4750	581
302	4765	566
303	4780	550
304	4797	534
305	4813	519
306	4829	503
307	4846	487
308	4861	472
309	4877	456
310	4893	440
311	4909	424
312	4925	409
313	4939	393
314	4954	377
315	4969	361
316	4984	345
317	4999	330
318	5015	314
319	5030	298
320	5047	283
321	5061	267
322	5077	251
323	5092	235
324	5107	220
325	5124	204
326	5137	188
327	5152	172
328	5169	157
329	5184	141
330	5201	125
331	5216	109
332	5232	94
333	5248	78
334	5262	62
335	5277	47
336	5292	31
337	5307	15
338	5322	0
